user_id,signup_date,age,gender,city_tier,device_type,acquisition_channel,name
U000034,2024-02-26,21,Other,Tier 1,iOS,Paid Ad,Zashil Mittal
U000035,2024-04-30,31,Female,Tier 2,Android,Social Media,Gaurang Chaudhry
U000036,2024-04-22,52,Male,Tier 1,Android,Paid Ad,Deepa Pradhan
U000037,2024-05-16,26,Male,Tier 1,Android,Paid Ad,Samarth Prashad
U000038,2024-01-09,19,Other,Tier 1,iOS,Organic,Indira Arora
U000039,2024-02-14,22,Female,Tier 2,iOS,Organic,Chameli Balay
U000040,2024-01-16,35,Male,Tier 3,Android,Referral,Raghav Chakraborty
U000041,2024-06-17,28,Male,Tier 2,Android,Paid Ad,Teerth Badami
U000042,2024-03-14,20,Female,Tier 3,Android,Organic,Orinder Khanna
U000043,2024-03-29,19,Other,Tier 2,Android,Organic,Neelima D’Alia
U000044,2024-06-10,31,Female,Tier 1,Android,Organic,Omaja Pandit
U000045,2024-02-01,36,Female,Tier 1,iOS,Organic,Warhi Mann
U000046,2024-03-09,27,Male,Tier 1,iOS,Referral,Dev Chahal
U000047,2024-05-10,25,Female,Tier 2,iOS,Paid Ad,Pushti Hari
U000048,2024-05-16,31,Other,Tier 1,Android,Referral,Vrishti Lall
U000049,2024-05-05,46,Male,Tier 2,Android,Paid Ad,Prisha Borde
U000050,2024-04-28,37,Other,Tier 3,iOS,Referral,Dhriti Mahajan
U000051,2024-02-03,34,Other,Tier 1,Android,Referral,Vasana Srivastava
U000052,2024-05-21,33,Male,Tier 1,Android,Referral,Sanya Pai
U000053,2024-02-01,18,Female,Tier 1,Android,Referral,Yatin Krish
U000054,2024-03-14,34,Female,Tier 1,Android,Organic,Girish Prashad
U000055,2024-06-28,27,Other,Tier 2,Android,Referral,Lakshit Dewan
U000056,2024-05-13,34,Other,Tier 2,Android,Paid Ad,Sanya Borra
U000057,2024-02-12,25,Other,Tier 1,iOS,Paid Ad,Chandran Saxena
U000058,2024-03-03,46,Male,Tier 2,iOS,Paid Ad,Jai Bhattacharyya
U000059,2024-02-14,33,Male,Tier 2,Android,Referral,Varenya Dube
U000060,2024-06-05,26,Female,Tier 1,Android,Organic,Tejas Kapur
U000061,2024-03-18,50,Female,Tier 3,iOS,Paid Ad,Pranit Vig
U000062,2024-01-13,18,Male,Tier 3,Android,Social Media,Rohan Khanna
U000063,2024-06-26,52,Other,Tier 3,Android,Paid Ad,Zinal Kohli
U000064,2024-06-19,43,Other,Tier 1,Android,Paid Ad,Arjun Savant
U000065,2024-03-02,50,Male,Tier 2,Android,Organic,Rachita Khosla
U000066,2024-05-07,33,Female,Tier 3,Android,Paid Ad,Radha Ratti
U000067,2024-03-17,44,Other,Tier 2,Android,Referral,Bachittar Kohli
U000068,2024-03-30,28,Male,Tier 1,iOS,Referral,Shaurya Mukherjee
U000069,2024-02-21,44,Male,Tier 3,Android,Paid Ad,Nidra Patel
U000070,2024-02-17,41,Other,Tier 2,Android,Referral,Isaiah Gera
U000071,2024-04-19,45,Other,Tier 1,Android,Organic,Hardik Savant
U000072,2024-02-21,33,Other,Tier 1,Android,Paid Ad,Kabir Bora
U000073,2024-04-23,26,Female,Tier 2,Android,Organic,Pallavi Goel
U000074,2024-06-23,42,Other,Tier 1,Android,Paid Ad,Harini Sangha
U000075,2024-03-18,39,Female,Tier 1,Android,Organic,Mahika Mody
U000076,2024-02-12,19,Male,Tier 2,Android,Paid Ad,Sneha Wali
U000077,2024-04-08,37,Female,Tier 3,Android,Paid Ad,Maanav Bir
U000078,2024-01-18,41,Male,Tier 1,Android,Organic,Samuel Nayak
U000079,2024-06-16,18,Male,Tier 3,iOS,Referral,Tanmayi Thakkar
U000080,2024-01-30,29,Other,Tier 1,Android,Organic,Wakeeta Wali
U000081,2024-02-01,32,Other,Tier 2,Android,Organic,Chatresh Vyas
U000082,2024-03-22,51,Other,Tier 2,Android,Paid Ad,Rehaan Salvi
U000083,2024-01-13,29,Female,Tier 1,Android,Referral,Qasim Kulkarni
U000084,2024-03-15,18,Other,Tier 1,Android,Organic,Vihaan Madan
U000085,2024-03-31,43,Other,Tier 2,Android,Organic,Zaitra Warrior
U000086,2024-02-18,31,Other,Tier 2,Android,Paid Ad,Oliver Loke
U000087,2024-06-16,28,Male,Tier 2,Android,Organic,Krishna Bala
U000088,2024-05-12,28,Other,Tier 2,Android,Referral,Ojas Arora
U000089,2024-01-23,34,Other,Tier 1,Android,Paid Ad,Advaith Dara
U000090,2024-06-20,18,Other,Tier 2,iOS,Paid Ad,Aarna Munshi
U000091,2024-05-25,28,Female,Tier 2,Android,Paid Ad,Akshay Ramakrishnan
U000092,2024-05-29,50,Other,Tier 1,iOS,Social Media,Chakrika Devi
U000093,2024-03-07,24,Male,Tier 1,Android,Organic,Harita Shroff
U000094,2024-02-26,20,Female,Tier 2,Android,Paid Ad,Dayamai Gera
U000095,2024-01-31,43,Female,Tier 1,iOS,Organic,Daksha Dewan
U000096,2024-01-01,21,Other,Tier 2,Android,Referral,Anya Rastogi
U000097,2024-06-19,38,Other,Tier 3,Android,Organic,Aarna Narang
U000098,2024-02-21,39,Other,Tier 3,iOS,Paid Ad,Bahadurjit Verma
U000099,2024-05-27,28,Male,Tier 3,Android,Social Media,Hemang Choudhury
U000100,2024-04-08,43,Male,Tier 2,iOS,Referral,Lavanya Sathe
U000101,2024-06-18,21,Other,Tier 3,Android,Referral,Omya Kothari
U000102,2024-02-27,27,Other,Tier 3,Android,Organic,Indira Palan
U000103,2024-04-08,47,Other,Tier 1,Android,Social Media,Jagat Nanda
U000104,2024-02-08,51,Male,Tier 2,Android,Paid Ad,Unnati Ben
U000105,2024-03-13,26,Male,Tier 1,Android,Referral,Indrajit Pradhan
U000106,2024-04-14,40,Other,Tier 3,Android,Paid Ad,Nilima Singh
U000107,2024-06-27,19,Male,Tier 2,Android,Referral,Rudra Hari
U000108,2024-04-26,27,Female,Tier 1,Android,Referral,Zaid Dash
U000109,2024-04-04,33,Male,Tier 1,Android,Referral,Baljiwan Saran
U000110,2024-01-22,20,Female,Tier 3,Android,Organic,Udarsh Sankaran
U000111,2024-06-19,20,Female,Tier 3,Android,Paid Ad,Nathaniel Sampath
U000112,2024-02-16,41,Male,Tier 3,iOS,Referral,Chaitanya Nagi
U000113,2024-02-16,28,Other,Tier 1,iOS,Paid Ad,Yashica Chhabra
U000114,2024-01-16,29,Male,Tier 3,Android,Paid Ad,Naksh Cherian
U000115,2024-05-22,18,Female,Tier 2,Android,Organic,Tarak Divan
U000116,2024-06-07,21,Male,Tier 2,iOS,Paid Ad,Rohan Mohanty
U000117,2024-05-27,52,Other,Tier 1,Android,Referral,Dayamai Viswanathan
U000118,2024-05-28,24,Male,Tier 3,Android,Social Media,Varenya Tripathi
U000119,2024-01-25,19,Other,Tier 3,Android,Social Media,Shravya Subramanian
U000120,2024-04-02,20,Other,Tier 2,iOS,Paid Ad,Zehaan Chacko
U000121,2024-02-02,34,Female,Tier 2,Android,Paid Ad,Riya Savant
U000122,2024-04-12,33,Other,Tier 3,Android,Organic,Anita Shukla
U000123,2024-03-23,51,Male,Tier 3,Android,Paid Ad,Hardik Saini
U000124,2024-06-29,26,Other,Tier 1,Android,Paid Ad,Harini Manda
U000125,2024-05-26,33,Other,Tier 1,iOS,Social Media,Neel Iyengar
U000126,2024-05-13,36,Male,Tier 2,Android,Referral,Ekani Singh
U000127,2024-05-18,35,Female,Tier 1,iOS,Referral,Siya Dhillon
U000128,2024-03-18,51,Other,Tier 2,Android,Paid Ad,Yochana Murty
U000129,2024-05-06,49,Female,Tier 3,Android,Organic,Gunbir Kala
U000130,2024-03-26,28,Other,Tier 3,iOS,Organic,Tanay Sengupta
U000131,2024-03-28,33,Male,Tier 1,iOS,Referral,Zinal Toor
U000132,2024-02-18,43,Male,Tier 2,Android,Organic,Charvi Zacharia
U000133,2024-01-13,19,Female,Tier 3,iOS,Social Media,Adweta Bhagat
U000134,2024-01-05,55,Other,Tier 2,iOS,Social Media,Garima Kamdar
U000135,2024-04-17,43,Male,Tier 1,Android,Organic,Unnati Sabharwal
U000136,2024-04-24,51,Male,Tier 2,Android,Referral,Isha Chhabra
U000137,2024-01-02,33,Male,Tier 1,Android,Referral,Vansha Anand
U000138,2024-05-17,31,Other,Tier 3,Android,Referral,Leena Chawla
U000139,2024-01-12,32,Male,Tier 2,iOS,Paid Ad,Charvi Sankar
U000140,2024-01-14,22,Male,Tier 1,iOS,Paid Ad,Guneet Chanda
U000141,2024-06-15,36,Female,Tier 1,Android,Organic,Abeer Viswanathan
U000142,2024-01-14,27,Other,Tier 2,Android,Paid Ad,Upadhriti Atwal
U000143,2024-02-16,47,Female,Tier 1,Android,Referral,Zehaan Sandal
U000144,2024-05-09,28,Female,Tier 2,iOS,Social Media,Gaurav Bala
U000145,2024-02-11,22,Other,Tier 3,Android,Organic,Meghana Kara
U000146,2024-01-26,30,Other,Tier 3,Android,Paid Ad,Nihal Kalita
U000147,2024-06-20,34,Other,Tier 1,Android,Organic,Girik Zachariah
U000148,2024-04-21,21,Female,Tier 1,Android,Paid Ad,Leena Balan
U000149,2024-02-17,23,Female,Tier 1,iOS,Paid Ad,Farhan Arora
U000150,2024-06-05,35,Female,Tier 1,Android,Organic,Aradhana Nagarajan
U000151,2024-02-06,23,Male,Tier 1,Android,Organic,Anusha Sandal
U000152,2024-01-19,21,Other,Tier 2,Android,Paid Ad,Jagrati Yogi
U000153,2024-03-24,31,Female,Tier 2,Android,Referral,Yasti Dube
U000154,2024-03-23,34,Female,Tier 1,iOS,Social Media,Chanakya Shankar
U000155,2024-03-31,19,Other,Tier 1,iOS,Referral,Ojas Nigam
U000156,2024-01-11,23,Other,Tier 1,Android,Paid Ad,Hemal Sinha
U000157,2024-05-06,33,Other,Tier 1,Android,Referral,Lajita Khurana
U000158,2024-01-20,19,Male,Tier 1,Android,Referral,Manya Sahni
U000159,2024-03-19,31,Other,Tier 2,Android,Paid Ad,Utkarsh Agrawal
U000160,2024-03-06,32,Male,Tier 1,Android,Paid Ad,Qarin Samra
U000161,2024-02-18,18,Male,Tier 1,Android,Paid Ad,Noah Hora
U000162,2024-02-06,21,Other,Tier 3,Android,Referral,Ethan Walia
U000163,2024-03-28,40,Male,Tier 2,Android,Paid Ad,Idika Manne
U000164,2024-03-22,33,Male,Tier 2,Android,Organic,Nitesh Kohli
U000165,2024-02-24,26,Female,Tier 1,Android,Paid Ad,Widisha Chander
U000166,2024-02-18,27,Male,Tier 3,Android,Organic,Arjun Krishnan
U000167,2024-03-27,21,Other,Tier 1,Android,Organic,Nakul Bera
U000168,2024-01-20,23,Male,Tier 1,Android,Referral,Dalbir Khare
U000169,2024-05-06,20,Other,Tier 2,Android,Social Media,Yashica Venkataraman
U000170,2024-06-11,21,Male,Tier 1,iOS,Referral,Jagrati Patla
U000171,2024-01-19,42,Male,Tier 1,Android,Referral,Alexander Naidu
U000172,2024-02-02,49,Female,Tier 2,Android,Organic,Eiravati Varghese
U000173,2024-04-04,39,Female,Tier 1,Android,Paid Ad,Anamika Yohannan
U000174,2024-02-11,31,Female,Tier 1,Android,Paid Ad,Ekaja Deep
U000175,2024-06-24,26,Male,Tier 2,Android,Paid Ad,Nathaniel Johal
U000176,2024-02-01,31,Female,Tier 1,Android,Organic,Rudra Hayer
U000177,2024-01-01,19,Female,Tier 3,Android,Referral,Tara Mall
U000178,2024-02-21,25,Female,Tier 2,iOS,Paid Ad,Widisha Sarraf
U000179,2024-02-25,30,Female,Tier 2,Android,Social Media,Wridesh Viswanathan
U000180,2024-05-15,42,Other,Tier 3,Android,Referral,Aradhana Lanka
U000181,2024-06-01,50,Other,Tier 1,Android,Referral,Nitesh Chawla
U000182,2024-05-08,32,Other,Tier 3,Android,Referral,Mitesh Tripathi
U000183,2024-04-04,24,Male,Tier 1,Android,Referral,Ishani Desai
U000184,2024-02-06,35,Female,Tier 2,Android,Referral,Kamya Sama
U000185,2024-02-12,28,Male,Tier 3,Android,Paid Ad,Aditya Bawa
U000186,2024-04-22,30,Other,Tier 1,iOS,Paid Ad,Yauvani Parmar
U000187,2024-04-15,25,Male,Tier 3,Android,Paid Ad,Jagvi Purohit
U000188,2024-05-25,47,Female,Tier 2,Android,Social Media,Yutika Suresh
U000189,2024-01-12,34,Male,Tier 1,Android,Referral,Hemal Chada
U000190,2024-04-23,34,Female,Tier 2,iOS,Referral,Ikbal Bassi
U000191,2024-04-07,22,Other,Tier 1,Android,Referral,Mitesh Ramakrishnan
U000192,2024-01-31,19,Male,Tier 2,iOS,Referral,Ubika Ahluwalia
U000193,2024-04-08,27,Male,Tier 3,Android,Referral,Mitesh Sood
U000194,2024-06-14,21,Male,Tier 1,iOS,Organic,Idika Banerjee
U000195,2024-01-14,25,Other,Tier 2,iOS,Paid Ad,Gautam Sodhi
U000196,2024-01-14,36,Other,Tier 2,Android,Paid Ad,Gunbir Gala
U000197,2024-06-16,23,Male,Tier 3,Android,Paid Ad,Siddharth Raval
U000198,2024-03-19,30,Male,Tier 3,Android,Paid Ad,Onkar Magar
U000199,2024-06-21,31,Other,Tier 2,Android,Referral,Jagrati Bandi
U000200,2024-02-17,49,Other,Tier 2,Android,Social Media,Divya Dora
U000201,2024-04-25,37,Male,Tier 1,Android,Paid Ad,Chakradev Pai
U000202,2024-04-30,29,Male,Tier 2,iOS,Social Media,Henry Peri
U000203,2024-03-22,30,Other,Tier 1,iOS,Referral,Ekiya Bains
U000204,2024-04-23,21,Other,Tier 3,iOS,Paid Ad,Nirja Varughese
U000205,2024-04-11,33,Female,Tier 1,Android,Paid Ad,Baghyawati Pandit
U000206,2024-02-20,41,Male,Tier 1,Android,Paid Ad,Brinda Baria
U000207,2024-05-10,32,Other,Tier 3,Android,Paid Ad,Samaksh Koshy
U000208,2024-03-02,38,Male,Tier 2,Android,Paid Ad,Barkha Kannan
U000209,2024-02-21,22,Female,Tier 1,Android,Paid Ad,Radha Bawa
U000210,2024-01-26,48,Other,Tier 1,Android,Paid Ad,Ojas Ramanathan
U000211,2024-05-05,18,Female,Tier 2,Android,Social Media,Yashica Kibe
U000212,2024-03-29,22,Female,Tier 2,Android,Social Media,Dhriti Balay
U000213,2024-06-29,31,Male,Tier 2,Android,Referral,Robert Lad
U000214,2024-01-02,24,Female,Tier 3,Android,Organic,Amaira Subramanian
U000215,2024-04-30,19,Other,Tier 2,Android,Organic,Dalbir Ravel
U000216,2024-01-20,40,Male,Tier 2,Android,Paid Ad,Hema Dara
U000217,2024-04-14,28,Male,Tier 2,Android,Organic,Bina Gole
U000218,2024-04-08,44,Female,Tier 3,Android,Organic,Triya Radhakrishnan
U000219,2024-01-26,34,Female,Tier 2,Android,Organic,Bhavani Dayal
U000220,2024-06-20,37,Male,Tier 2,Android,Organic,Rohan Tank
U000221,2024-06-19,25,Male,Tier 2,Android,Organic,Manthan Bhagat
U000222,2024-03-12,41,Female,Tier 1,Android,Organic,Anika Ramanathan
U000223,2024-01-31,21,Female,Tier 1,iOS,Referral,Saanvi Manda
U000224,2024-06-10,42,Other,Tier 1,Android,Organic,Alka Halder
U000225,2024-05-16,26,Female,Tier 3,Android,Organic,Anusha Khare
U000226,2024-04-28,24,Other,Tier 1,Android,Paid Ad,Ishwar Natarajan
U000227,2024-04-12,29,Male,Tier 3,iOS,Paid Ad,Ubika Karan
U000228,2024-05-09,25,Other,Tier 1,Android,Organic,Daksh Prasad
U000229,2024-02-28,34,Other,Tier 2,Android,Paid Ad,Gaurangi Raval
U000230,2024-01-21,26,Male,Tier 3,iOS,Organic,Pranav Barad
U000231,2024-02-21,44,Male,Tier 2,iOS,Referral,Triya Saran
U000232,2024-06-21,29,Male,Tier 1,Android,Paid Ad,Devika Kapoor
U000233,2024-05-24,34,Other,Tier 1,Android,Referral,Abdul Pandit
U000234,2024-01-31,54,Female,Tier 2,Android,Organic,Nachiket Narayanan
U000235,2024-02-24,18,Other,Tier 3,Android,Paid Ad,Zaitra Bassi
U000236,2024-02-10,26,Other,Tier 2,Android,Referral,Chandani Bhat
U000237,2024-03-07,24,Male,Tier 1,Android,Social Media,Simon Hora
U000238,2024-05-13,44,Other,Tier 2,Android,Referral,Chakrika Sanghvi
U000239,2024-06-14,23,Female,Tier 3,Android,Paid Ad,Aarnav Modi
U000240,2024-04-08,31,Female,Tier 1,Android,Referral,Widisha Bandi
U000241,2024-02-18,20,Male,Tier 2,Android,Paid Ad,Ganga Swaminathan
U000242,2024-01-18,26,Other,Tier 1,Android,Organic,Finn Chakrabarti
U000243,2024-03-23,32,Female,Tier 2,Android,Social Media,Manan Balay
U000244,2024-01-09,38,Male,Tier 1,Android,Organic,Ojasvi Radhakrishnan
U000245,2024-03-05,33,Male,Tier 1,Android,Paid Ad,Yug Din
U000246,2024-05-03,27,Female,Tier 3,Android,Organic,Ojas Bawa
U000247,2024-02-01,37,Other,Tier 2,Android,Paid Ad,Oni Kibe
U000248,2024-03-26,25,Other,Tier 3,iOS,Referral,Vasatika Baral
U000249,2024-05-17,26,Female,Tier 2,Android,Organic,Zayyan Ratta
U000250,2024-04-18,48,Male,Tier 1,iOS,Paid Ad,Abeer Lala
U000251,2024-01-22,23,Male,Tier 2,iOS,Referral,Saksham Desai
U000252,2024-06-20,41,Other,Tier 2,Android,Referral,Liam Nadkarni
U000253,2024-06-24,25,Male,Tier 2,Android,Social Media,Inaya Pradhan
U000254,2024-04-15,50,Male,Tier 1,Android,Social Media,Watika Sachdev
U000255,2024-06-11,23,Female,Tier 2,iOS,Organic,Bhavya Thaker
U000256,2024-04-23,36,Other,Tier 1,iOS,Social Media,Robert Roy
U000257,2024-01-29,50,Female,Tier 2,iOS,Referral,Chatura Gade
U000258,2024-01-25,27,Male,Tier 3,Android,Paid Ad,David Kulkarni
U000259,2024-02-29,25,Female,Tier 1,Android,Referral,Omya Goswami
U000260,2024-06-23,27,Male,Tier 2,Android,Paid Ad,Indrajit Choudhury
U000261,2024-06-23,32,Female,Tier 3,Android,Paid Ad,Ojasvi Nazareth
U000262,2024-02-10,45,Other,Tier 2,Android,Organic,Rajata Sha
U000263,2024-02-18,44,Other,Tier 1,iOS,Paid Ad,Jeet Suri
U000264,2024-01-20,50,Female,Tier 3,iOS,Paid Ad,Rayaan Nadig
U000265,2024-05-31,39,Other,Tier 2,Android,Paid Ad,Harita Palan
U000266,2024-06-20,44,Female,Tier 3,iOS,Paid Ad,Yadavi Bawa
U000267,2024-04-30,29,Other,Tier 2,Android,Organic,Benjamin Kamdar
U000268,2024-01-31,27,Male,Tier 1,Android,Organic,Urishilla Sastry
U000269,2024-06-16,19,Male,Tier 1,iOS,Paid Ad,Brinda Lanka
U000270,2024-06-04,28,Male,Tier 2,Android,Social Media,Upasna Bansal
U000271,2024-06-20,40,Female,Tier 1,Android,Referral,Vedhika Mall
U000272,2024-01-05,50,Male,Tier 2,Android,Organic,Bachittar Kara
U000273,2024-05-23,55,Female,Tier 1,iOS,Paid Ad,Chakradev Nadig
U000274,2024-05-31,33,Female,Tier 2,Android,Organic,Daksh Zachariah
U000275,2024-06-04,24,Other,Tier 1,iOS,Paid Ad,Ryan Kanda
U000276,2024-06-16,19,Other,Tier 3,iOS,Social Media,Qabil Kaul
U000277,2024-06-06,55,Male,Tier 1,Android,Referral,Yashvi Mani
U000278,2024-02-21,36,Male,Tier 1,iOS,Organic,Bhavna Setty
U000279,2024-06-01,24,Other,Tier 2,Android,Paid Ad,Jagat Aurora
U000280,2024-01-21,20,Female,Tier 3,Android,Organic,Kashish Char
U000281,2024-06-18,45,Male,Tier 3,iOS,Referral,Bhavya Anne
U000282,2024-06-15,34,Female,Tier 2,Android,Paid Ad,Warjas Chacko
U000283,2024-02-13,28,Male,Tier 1,iOS,Paid Ad,Qabil Samra
U000284,2024-06-07,20,Female,Tier 1,Android,Organic,Wyatt Banik
U000285,2024-03-08,43,Female,Tier 2,Android,Paid Ad,Vedant Krishna
U000286,2024-06-08,42,Male,Tier 1,Android,Paid Ad,Urvi Joshi
U000287,2024-02-13,25,Male,Tier 3,iOS,Referral,Radha Rao
U000288,2024-05-08,43,Male,Tier 3,Android,Referral,Faraj Agrawal
U000289,2024-03-18,36,Female,Tier 2,Android,Referral,Lajita Sabharwal
U000290,2024-02-24,22,Male,Tier 3,iOS,Organic,Chaaya De
U000291,2024-05-30,42,Female,Tier 1,Android,Referral,Omkaar Kade
U000292,2024-03-09,22,Other,Tier 3,iOS,Paid Ad,Isaac Lal
U000293,2024-04-08,18,Female,Tier 1,Android,Social Media,Simon Deshmukh
U000294,2024-05-11,34,Other,Tier 1,Android,Paid Ad,Fitan Mani
U000295,2024-03-05,40,Male,Tier 1,iOS,Paid Ad,Aradhana Dash
U000296,2024-01-23,52,Female,Tier 1,Android,Social Media,Ekaja Deep
U000297,2024-02-04,21,Other,Tier 3,Android,Organic,Isha Buch
U000298,2024-02-21,26,Male,Tier 2,Android,Paid Ad,Sanya Mall
U000299,2024-01-22,27,Other,Tier 2,Android,Referral,Zaitra Wali
U000300,2024-03-25,53,Female,Tier 3,iOS,Organic,Lipika Garde
U000301,2024-05-21,39,Female,Tier 1,Android,Paid Ad,Hema Oza
U000302,2024-03-25,30,Other,Tier 3,Android,Paid Ad,Oeshi Dutt
U000303,2024-04-09,26,Male,Tier 3,Android,Paid Ad,Arya Swamy
U000304,2024-03-15,23,Other,Tier 3,Android,Organic,Vrinda Hora
U000305,2024-02-06,20,Female,Tier 2,Android,Organic,Libni Murthy
U000306,2024-01-09,51,Other,Tier 1,Android,Social Media,Amrita Bhatti
U000307,2024-03-25,29,Male,Tier 2,Android,Organic,Warinder Purohit
U000308,2024-04-10,54,Other,Tier 2,iOS,Organic,Simon Kohli
U000309,2024-05-13,24,Other,Tier 1,Android,Paid Ad,Chandani Kala
U000310,2024-05-24,44,Other,Tier 2,iOS,Organic,Harita Bal
U000311,2024-05-10,44,Male,Tier 3,iOS,Referral,Rayaan Sur
U000312,2024-03-11,39,Female,Tier 2,Android,Organic,Raksha Pall
U000313,2024-01-14,48,Other,Tier 2,iOS,Paid Ad,Gaurav Bumb
U000314,2024-06-27,21,Female,Tier 1,Android,Paid Ad,Aarush Jayaraman
U000315,2024-05-01,24,Female,Tier 2,Android,Paid Ad,Hiral Bhatia
U000316,2024-05-08,25,Male,Tier 3,Android,Paid Ad,Siya Kanda
U000317,2024-05-19,18,Female,Tier 1,Android,Paid Ad,Ranbir Hayre
U000318,2024-04-08,33,Female,Tier 1,Android,Referral,Daksh Badal
U000319,2024-05-09,40,Female,Tier 1,Android,Organic,Indali Karan
U000320,2024-03-04,25,Female,Tier 3,Android,Paid Ad,Chaitaly Bose
U000321,2024-05-15,33,Female,Tier 2,Android,Organic,Omaja Badal
U000322,2024-04-17,27,Male,Tier 2,Android,Paid Ad,Vinaya Goyal
U000323,2024-02-07,19,Female,Tier 1,Android,Organic,Anamika Naik
U000324,2024-05-09,32,Female,Tier 2,iOS,Organic,Rushil Sangha
U000325,2024-05-11,23,Other,Tier 1,Android,Referral,Abhimanyu Bajwa
U000326,2024-06-24,18,Male,Tier 3,Android,Paid Ad,Devansh Gola
U000327,2024-04-29,37,Other,Tier 3,Android,Referral,Zarna Bath
U000328,2024-02-28,27,Female,Tier 3,Android,Referral,Tarak Wagle
U000329,2024-04-16,32,Male,Tier 3,Android,Paid Ad,Damini Nigam
U000330,2024-02-29,31,Female,Tier 2,Android,Organic,Karan Khalsa
U000331,2024-02-10,25,Female,Tier 1,iOS,Organic,Omya Zacharia
U000332,2024-06-01,53,Other,Tier 1,Android,Referral,Henry D’Alia
U000333,2024-04-27,34,Other,Tier 2,Android,Referral,Triveni Tara
U000334,2024-03-03,25,Female,Tier 3,iOS,Referral,Nachiket Kumer
U000335,2024-03-26,24,Female,Tier 2,Android,Organic,Samesh Bansal
U000336,2024-05-11,25,Male,Tier 2,iOS,Referral,Advik Jha
U000337,2024-04-09,38,Female,Tier 2,Android,Paid Ad,Charles Mitter
U000338,2024-06-03,54,Other,Tier 1,iOS,Paid Ad,Vritti Randhawa
U000339,2024-02-02,29,Other,Tier 2,Android,Referral,Viraj Bajaj
U000340,2024-01-17,46,Female,Tier 2,Android,Paid Ad,Zansi Anne
U000341,2024-04-10,47,Other,Tier 1,Android,Paid Ad,Tanveer Sarraf
U000342,2024-05-02,38,Other,Tier 1,Android,Social Media,Hemani Luthra
U000343,2024-03-06,23,Male,Tier 1,iOS,Organic,Ekta Keer
U000344,2024-06-07,43,Male,Tier 2,Android,Referral,Forum Srivastava
U000345,2024-05-10,29,Female,Tier 2,Android,Paid Ad,Reyansh Dube
U000346,2024-02-13,23,Male,Tier 1,iOS,Organic,Orinder Rege
U000347,2024-01-29,34,Male,Tier 1,iOS,Organic,Ansh Loke
U000348,2024-01-09,53,Male,Tier 2,Android,Organic,Warinder Karnik
U000349,2024-04-02,23,Other,Tier 2,Android,Referral,Brijesh Muni
U000350,2024-06-14,29,Male,Tier 1,Android,Referral,Wyatt Naidu
U000351,2024-03-29,23,Female,Tier 1,Android,Referral,Hredhaan Goel
U000352,2024-06-21,35,Other,Tier 2,iOS,Referral,Gautam Bava
